questions,Time,Tree
Q1,0.088,R-tree
Q2,2.89,R-tree
Q3,0.112,R-tree
Q4,0.145,R-tree
Q5,0.294,R-tree
Q6,0.149,R-tree
Q7,0.54,R-tree
Q8,0.038,R-tree
Q9,0.062,R-tree
Q10,1.655,R-tree
Q1,0.057,Kd-tree
Q2,2.4,Kd-tree
Q3,0.084,Kd-tree
Q4,0.078,Kd-tree
Q5,0.131,Kd-tree
Q6,0.094,Kd-tree
Q7,0.426,Kd-tree
Q8,0.027,Kd-tree
Q9,0.052,Kd-tree
Q10,0.981,Kd-tree
Q1,0.062,Range-tree
Q2,2.418,Range-tree
Q3,0.087,Range-tree
Q4,0.078,Range-tree
Q5,0.131,Range-tree
Q6,0.121,Range-tree
Q7,0.463,Range-tree
Q8,0.027,Range-tree
Q9,0.049,Range-tree
Q10,1.049,Range-tree
Q1,0.057,Oc-tree
Q2,2.481,Oc-tree
Q3,0.088,Oc-tree
Q4,0.091,Oc-tree
Q5,0.133,Oc-tree
Q6,0.126,Oc-tree
Q7,0.449,Oc-tree
Q8,0.028,Oc-tree
Q9,0.053,Oc-tree
Q10,1.059,Oc-tree
