Surname,Awards,Education,Dblp
Khan,0,Khan was a Bright Sparks scholar and received his PhD degree in Computer Science from University of Malaya.[14] He received his master's degree and bachelor's degree (with honors) in Computer Science from COMSATS University under COMSATS scholarship. He has also attended a summer camp on Advance Wireless Networks at Technische Universität Ilmenau under DAAD scholarship.,60
Aalst,0,"Born in Eersel, Netherlands, van der Aalst received an MSc in computing science in 1988 at the Technische Universiteit Eindhoven (TU/e), and a PhD in mathematics in 1992 with the thesis ""Timed colored Petri nets and their application to logistics"" under supervision of Jaap Wessels and Kees van Hee.[2] In 1992 he started working at the Eindhoven University of Technology as an assistant professor for the department of Mathematics and Computing Science, where he headed the Specification and Modeling of Information Systems (SMIS) research group. From 2000 to 2003, he was a part-time full professor at the Computing Science department. And from 2000 to 2006 he was head of the Information Systems department at the Technology Management department of TU/e. Since 2006 he has been full professor at the Department of Mathematics & Computer Science of the Eindhoven University of Technology. He also has a part-time appointment in the BPM group of Queensland University of Technology (QUT).[1] He has been a visiting professor on at Karlsruhe Institute of Technology (AIFB), the University of Georgia (LSDIS), Johann Wolfgang Goethe University Frankfurt am Main (WI-II), the University of Colorado (CTRG), Queensland University of Technology (CITI), Aarhus University (DAIMI),[2] and Fondazione Bruno Kessler (FBK).[3] He is associate editor for several journals, including ""IEEE Transactions on Services Computing"", ""IEEE Transactions on Industrial Informatics"", ""International Journal of Business Process Integration and Management"", ""International Journal on Enterprise Modelling and Information Systems Architectures"", ""Computers in Industry"", and ""Transactions on Petri Nets and Other Models of Concurrency"".[2] He is series editor of ""Lecture Notes in Business Information Processing"" (LNBIP) by Springer, member of the editorial board of ""Distributed and Parallel Databases"" and ""Business and Information Systems Engineering"", and member of several steering committees, including ""International Conference Series on Business Process Management"" (chair), ""International Conference Series on Application and Theory of Petri nets"" and ""International Workshop Series on Web Services and Formal Methods"".  He is also a member of the Royal Holland Society of Sciences and Humanities (Koninklijke Hollandsche Maatschappij der Wetenschappen) and the Academy of Europe (Academia Europaea).[2] Van der Aalst was elected member of the Royal Netherlands Academy of Arts and Sciences in 2014.[4]",0
Aaronson,7,"Aaronson grew up in the United States, though he spent a year in Asia when his father—a science writer turned public-relations executive—was posted to Hong Kong.[6] He enrolled in a school there that permitted him to skip ahead several years in math, but upon returning to the US, he found his education restrictive, getting bad grades and having run-ins with teachers. He enrolled in The Clarkson School, a gifted education program run by Clarkson University, which enabled Aaronson to apply for colleges while only in his freshman year of high school.[6] He was accepted into Cornell University, where he obtained his BSc in computer science in 2000,[7] and where he resided at the Telluride House.[8] He then attended the University of California, Berkeley, for his PhD, which he got in 2004 under the supervision of Umesh Vazirani.[9] Aaronson had shown ability in mathematics from an early age, teaching himself calculus at the age of 11, provoked by symbols in a babysitter's textbook. He discovered computer programming at age 11, and felt he lagged behind peers, who had already been coding for years. In part due to Aaronson getting into advanced mathematics before getting into computer programming, he felt drawn to theoretical computing, particularly computational complexity theory. At Cornell, he became interested in quantum computing and devoted himself to computational complexity and quantum computing.[6]",230
Abebe,9,"Abebe was born and raised in Addis Ababa, Ethiopia.[5] She was educated in the Ethiopian National Curriculum at Nazareth School before winning a competitive merit-based scholarship to attend the International Community School of Addis Ababa for high school.[5] Abebe attended Harvard University where she earned a Bachelor of Arts degree in mathematics and later a Master of Science degree in applied mathematics. As an undergraduate, she co-authored research papers in mathematics, physics, and public health.[6][7] While at Harvard, Abebe contributed to The Harvard Crimson as a staff writer, where she focused on the Cambridge public school system (2009-2011).[8] After college, she attended the University of Cambridge as the Governor William Shirley Scholar at Pembroke College.[9][10] She completed Part III of the Mathematics Tripos and earned a Master of Advanced Studies in pure mathematics under the supervision of Imre Leader. Abebe completed her doctoral degree in computer science at Cornell University, where she was advised by Jon Kleinberg.[11] Her dissertation made notable contributions across multiple fields in computer science, receiving the 2020 ACM SIGKDD Dissertation Award and an honorable mention for the ACM SIGecom Dissertation Award. She is the first Black woman to complete a Ph.D. in computer science in the university's history.[12]",40
Abelson,5,"Abelson graduated with a Bachelor of Arts degree in mathematics from Princeton University in 1969 after completing a senior thesis on Actions with fixed-point set: a homology sphere, supervised by William Browder.[1]
[7] He received his PhD in mathematics from the Massachusetts Institute of Technology in 1973 after completing his research on Topologically distinct conjugate varieties with finite fundamental group supervised by Dennis Sullivan.[8][9]",51
Abiteboul,2,"The son of two hardware store owners, Abiteboul attended high-school in Romorantin, and Higher School Preparatory Classes in Tours.[13] He was admitted to the Télécom Paris engineering school and studied at the Technion in Haifa for a year.[14] Abiteboul received his PhD from the University of Southern California under the supervision of Seymour Ginsburg, in 1982.[15][3]",312
Abramsky,0,"Abramsky was educated at Hasmonean Grammar School for Boys, Hendon and at King's College, Cambridge (BA 1975, MA Philosophy 1979, Diploma in Computer Science) and Queen Mary, University of London (PhD Computer Science 1988, supervised by Richard Bornat).[3]",214
Adleman,1,Education information not found,0
Agrawal,10,Education information not found,105
Ahn,6,"Luis von Ahn was born in and grew up in Guatemala City. He is a Guatemalan of German descent. His mother was one of the first women in Guatemala to complete medical school, and had von Ahn at age 42 despite being single.[9] He attended the American School of Guatemala, a private English-language school in Guatemala City, an experience he cites as a great privilege.[10][11] When von Ahn was eight years old, his mother bought him a Commodore 64 computer, beginning his fascination with technology and computer science.[12] When he applied to colleges in the United States, Von Ahn had to spend more than $1,200 to fly to neighboring El Salvador to take the TOEFL. This experience left him with a negative impression of an ""extractive"" testing industry, ripe for disruption.[9] At age 18, von Ahn began studying at Duke University, where he received a Bachelor of Science (BS) in Mathematics, summa cum laude, in 2000.[13] He later earned his PhD in Computer Science at Carnegie Mellon University in 2005.[14][15] In 2006, Von Ahn became a faculty member at Carnegie Mellon University's School of Computer Science.[16]",39
